w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
0.07649259507199846 + 0.0im	-0.2816332741129666 - 0.05165623192657252im	-0.22885736894476721 - 0.024766743557433368im	-0.22885736894476727 - 0.024766743557433357im	-0.052775892552853074 - 0.02688948836902806im
0.07725752102271845 + 0.0im	-0.2827615402263162 - 0.0522009441608735im	-0.22936680725065345 - 0.025145186215026368im	-0.2293668072506534 - 0.025145186215026368im	-0.053394729299020185 - 0.027055757945735937im
0.07803009623294563 + 0.0im	-0.2839060018467265 - 0.052761932392436504im	-0.22988552456981018 - 0.025533536071294823im	-0.2298855245698102 - 0.025533536071294813im	-0.054020469809518766 - 0.02722839632103039im
0.07881039719527509 + 0.0im	-0.285066849796485 - 0.05333977754599773im	-0.23041364846898482 - 0.025932145886523126im	-0.23041364846898482 - 0.025932145886523112im	-0.05465319843022404 - 0.02740763165936329im
0.07959850116722784 + 0.0im	-0.2862442351131723 - 0.05393508077913116im	-0.23095127539231178 - 0.026341380774483725im	-0.2309512753923118 - 0.026341380774483714im	-0.05529294959729539 - 0.02759370000453605im
0.08039448617890012 + 0.0im	-0.2874383227277482 - 0.054548463938217294im	-0.2314985092815064 - 0.026761618479664323im	-0.2314985092815064 - 0.02676161847966431im	-0.05593981797234951 - 0.02778684545844151im
0.08119843104068912 + 0.0im	-0.28864931866552335 - 0.055180570003616126im	-0.23205547264692591 - 0.027193249647761163im	-0.23205547264692591 - 0.027193249647761156im	-0.05659384001121134 - 0.027987320355743504im
0.08201041535109602 + 0.0im	-0.28987733515948927 - 0.055832063521968414im	-0.23262226219522886 - 0.027636678088162753im	-0.23262226219522886 - 0.027636678088162746im	-0.05725507975985628 - 0.02819538543369411im
0.08283051950460697 + 0.0im	-0.29112254545543376 - 0.056503631023427564im	-0.23319895754492717 - 0.028092321027075522im	-0.23319895754492717 - 0.028092321027075515im	-0.057923591974374314 - 0.028411309996240607im
0.08365882469965304 + 0.0im	-0.29238500716731713 - 0.05719598142150196im	-0.2337856125349967 - 0.02856060934986425im	-0.23378561253499675 - 0.02856060934986424im	-0.05859939922535402 - 0.028635372071526284im
0.08449541294664957 + 0.0im	-0.2936649216315093 - 0.05790984639305952im	-0.23438234679631142 - 0.029041987831107417im	-0.23438234679631142 - 0.029041987831107407im	-0.05928256939300291 - 0.02886785856184073im
0.08534036707611607 + 0.0im	-0.29496235632907203 - 0.05864598073592486im	-0.23498921424503091 - 0.029536915350787868im	-0.23498921424503103 - 0.02953691535078785im	-0.05997313444114173 - 0.02910906538502568im
0.08619377074687723 + 0.0im	-0.29627740799690855 - 0.059405162701373734im	-0.23560627667193887 - 0.030045865094966383im	-0.23560627667193887 - 0.030045865094966387im	-0.06067112370077008 - 0.029359297606296075im
0.087055708454346 + 0.0im	-0.297610153560107 - 0.06018819429870469im	-0.23623358347741857 - 0.030569324739208394im	-0.2362335834774186 - 0.03056932473920838im	-0.06137656754740432 - 0.02961886955938509im
0.08792626553888946 + 0.0im	-0.2989606554094383 - 0.060995901568948845im	-0.23687117747268577 - 0.031107796612960596im	-0.23687117747268588 - 0.031107796612960575im	-0.06208947705761392 - 0.029888104955877126im
0.08880552819427837 + 0.0im	-0.300328947835142 - 0.06182913482465626im	-0.23751908587375847 - 0.03166179784300144im	-0.23751908587375847 - 0.03166179784300143im	-0.06280986956887306 - 0.030167336981543842im
0.08969358347622115 + 0.0im	-0.3017150728757399 - 0.06268876885258247im	-0.23817732789529308 - 0.032231860474017965im	-0.23817732789529308 - 0.032231860474017944im	-0.06353775092240574 - 0.030456908378453558im
0.09059051931098337 + 0.0im	-0.3031190478044421 - 0.06357570307598524im	-0.23884591388494347 - 0.03281853156429358im	-0.23884591388494347 - 0.03281853156429359im	-0.06427311919600401 - 0.03075717151158089im
0.0914964245040932 + 0.0im	-0.3045408151726709 - 0.06449086167313382im	-0.23952483619739998 - 0.03342237325442464im	-0.23952483619739998 - 0.03342237325442464im	-0.06501595975106865 - 0.031068488418598477im
0.09241138874913414 + 0.0im	-0.30598035113869604 - 0.06543519364852829im	-0.2402140682934926 - 0.03404396280692205im	-0.24021406829349254 - 0.03404396280692204im	-0.06576626258330957 - 0.03139123084149573im
0.09333550263662549 + 0.0im	-0.3074376075727413 - 0.06640967285323215im	-0.24091359451061578 - 0.03468389261449411im	-0.2409135945106158 - 0.034683892614494095im	-0.06652400264058132 - 0.031725780238627654im
0.09426885766299174 + 0.0im	-0.3089124838549218 - 0.06741529795062928im	-0.2416233416734186 - 0.03534277017475446im	-0.2416233416734186 - 0.03534277017475446im	-0.06728911819968418 - 0.032072527775764595im
0.09521154623962166 + 0.0im	-0.3104048681934323 - 0.06845309232383619im	-0.24234327106996187 - 0.03602121802904771im	-0.24234327106996192 - 0.036021218029047695im	-0.06806159293730268 - 0.03243187429467843im
0.09616366170201789 + 0.0im	-0.311914614895914 - 0.06952410392092631im	-0.24307325768787955 - 0.03671987366304249im	-0.24307325768787955 - 0.036719873663042475im	-0.0688413409818639 - 0.03280423025777396im
0.09712529831903806 + 0.0im	-0.31344155085681474 - 0.07062940503406218im	-0.2438132339216702 - 0.037439389366704164im	-0.2438132339216702 - 0.03743938936670412im	-0.06962829793884905 - 0.03319001566724824im
0.09809655130222844 + 0.0im	-0.31498546528114085 - 0.07177009200857604im	-0.2445630778273396 - 0.03818043205122754im	-0.2445630778273397 - 0.03818043205122756im	-0.07042238803552248 - 0.03358965995723895im
0.09907751681525073 + 0.0im	-0.3165461177969602 - 0.07294728487800431im	-0.24532261494300264 - 0.03894368302048779im	-0.2453226149430027 - 0.03894368302048779im	-0.07122350048913398 - 0.03400360185740712im
0.10006829198340324 + 0.0im	-0.3181232442311189 - 0.07416212692104775im	-0.24609170783653078 - 0.03972983769455005im	-0.24609170783653087 - 0.03972983769455007im	-0.07203153593224955 - 0.03443228922638849im
0.10106897490323727 + 0.0im	-0.31971651470228196 - 0.07541578413642316im	-0.246870157892192 - 0.040539605282774095im	-0.24687015789219194 - 0.040539605282774095im	-0.0728463583078801 - 0.034876178853540066im
0.10207966465226964 + 0.0im	-0.32132564288517174 - 0.07670944463156824im	-0.24765775996952383 - 0.04137370840404941im	-0.24765775996952374 - 0.04137370840404938im	-0.07366785839458578 - 0.03533573622741001im
0.10310046129879234 + 0.0im	-0.3229500968086847 - 0.07804431792118237im	-0.24845427255252944 - 0.0422328826517108im	-0.24845427255252944 - 0.042232882651710796im	-0.07449582327601566 - 0.0358114352693629im
0.10413146591178027 + 0.0im	-0.3245895728375482 - 0.07942163413162123im	-0.24925943392756633 - 0.043117876100706276im	-0.24925943392756633 - 0.04311787610070623im	-0.07533011890094854 - 0.03630375803080651im
0.10517278057089807 + 0.0im	-0.326243530978591 - 0.08084264310721312im	-0.2500729506036753 - 0.04402944875462121im	-0.2500729506036753 - 0.0440294487546212im	-0.07617055383624124 - 0.036813194352483605im
0.10622450837660706 + 0.0im	-0.32791145525136794 - 0.08230861341464103im	-0.25089452167689885 - 0.04496837193021142im	-0.25089452167689885 - 0.04496837193021142im	-0.0770169190938894 - 0.03734024148432154im
0.10728675346037313 + 0.0im	-0.32959275151805345 - 0.08382083124162273im	-0.25172378325760175 - 0.04593542757715179im	-0.2517237832576018 - 0.045935427577151786im	-0.07786897524590797 - 0.03788540366436305im
0.10835962099497685 + 0.0im	-0.3312868589313687 - 0.08538059918623635im	-0.25256035745002847 - 0.0469314075307804im	-0.25256035745002847 - 0.046931407530780386im	-0.07872648493502221 - 0.03844919165534829im
0.10944321720492663 + 0.0im	-0.33299301656986985 - 0.08698923493337224im	-0.25340384308080466 - 0.04795711269569984im	-0.25340384308080466 - 0.04795711269569986im	-0.07958918193382636 - 0.0390321222375649im
0.1105376493769759 + 0.0im	-0.3347105702837172 - 0.0886480698149499im	-0.2542537832159927 - 0.049013352158197035im	-0.2542537832159927 - 0.04901335215819703im	-0.08045676650757211 - 0.03963471765664552im
0.11164302587074566 + 0.0im	-0.3364386786176418 - 0.09035844725071776im	-0.25510971213856787 - 0.050100942225552274im	-0.25510971213856787 - 0.05010094222555224im	-0.08132894488180331 - 0.04025750502505836im
0.11275945612945312 + 0.0im	-0.3381764896879694 - 0.09212172106666108im	-0.2559711142396305 - 0.05122070539043802im	-0.25597111423963054 - 0.051220705390438im	-0.08220537780093358 - 0.04090101567611602im
0.11388705069074766 + 0.0im	-0.33992316284097596 - 0.09393925368826697im	-0.25683744256321966 - 0.05237346921874655im	-0.2568374425632197 - 0.05237346921874656im	-0.08308571023565756 - 0.04156578446941353im
0.11502592119765513 + 0.0im	-0.34167769486886224 - 0.09581241420615695im	-0.2577080869071533 - 0.0535600651593455im	-0.25770808690715336 - 0.05356006515934549im	-0.08396957216503051 - 0.04225234904670477im
0.11617618040963168 + 0.0im	-0.3434390071214684 - 0.09774257631186947im	-0.25858246567529813 - 0.05478132727443043im	-0.25858246567529825 - 0.0547813272744304im	-0.08485653118492148 - 0.04296124903733248im
0.117337942213728 + 0.0im	-0.3452060524156276 - 0.09973111610188698im	-0.25945987716118024 - 0.05603809088933551im	-0.25945987716118024 - 0.0560380908893355im	-0.08574618688127679 - 0.04369302521244504im
0.11851132163586528 + 0.0im	-0.34697768323179645 - 0.10177940974833004im	-0.26033962187416976 - 0.05733119116086459im	-0.26033962187416976 - 0.05733119116086459im	-0.08663807271722057 - 0.04444821858735922im
0.11969643485222393 + 0.0im	-0.3487526728036578 - 0.10388883103510081im	-0.2612209521657529 - 0.05866146156342815im	-0.2612209521657529 - 0.05866146156342815im	-0.0875317167208214 - 0.04522736947156643im
0.12089339920074617 + 0.0im	-0.35052966247094197 - 0.1060607487586407im	-0.26210308237321867 - 0.06002973229250763im	-0.2621030823732186 - 0.060029732292507625im	-0.08842658181540732 - 0.04603101646602702im
0.12210233319275363 + 0.0im	-0.3523073320741816 - 0.10829652399288195im	-0.26298517512178626 - 0.061436828585221086im	-0.2629851751217863 - 0.061436828585221086im	-0.08932215870758387 - 0.04685969540755487im
0.12332335652468117 + 0.0im	-0.3540842057839169 - 0.11059750721840082im	-0.263866337755044 - 0.06288356895803243im	-0.263866337755044 - 0.06288356895803242im	-0.09021786980181189 - 0.047713938260262684im
0.12455659008992798 + 0.0im	-0.3558587759952001 - 0.11296503531625231im	-0.2647456600593788 - 0.0643707633619314im	-0.26474566005937883 - 0.0643707633619314im	-0.09111312788439105 - 0.04859427195421514im
0.12580215599082725 + 0.0im	-0.35762945876650887 - 0.11540042842744176im	-0.26562215173097725 - 0.06589921125571016im	-0.26562215173097725 - 0.06589921125571017im	-0.09200729834477615 - 0.04950121717162594im
0.12706017755073554 + 0.0im	-0.3593945458720196 - 0.11790498667950917im	-0.26649483422455766 - 0.06746969959827429im	-0.2664948342245577 - 0.06746969959827427im	-0.09289973205860017 - 0.0504352870811294im
0.1283307793262429 + 0.0im	-0.3611523178791543 - 0.1204799867822274im	-0.2673625966202569 - 0.06908300076125672im	-0.2673625966202569 - 0.0690830007612567im	-0.09378973718780205 - 0.05139698602086515im
0.12961408711950534 + 0.0im	-0.36290094725644395 - 0.12312667849497569im	-0.2682243250167747 - 0.07073987036354314im	-0.26822432501677473 - 0.07073987036354312im	-0.09467659794880638 - 0.052386808131327164im
0.1309102279907004 + 0.0im	-0.36463849697127104 - 0.12584628096892705im	-0.2690788858445903 - 0.0724410450296692im	-0.2690788858445903 - 0.0724410450296692im	-0.09555958725514004 - 0.05340523593915241im
0.1322193302706074 + 0.0im	-0.3663629752971571 - 0.12863997896777868im	-0.2699250744216017 - 0.07418724007441968im	-0.26992507442160174 - 0.07418724007441964im	-0.09643789474173452 - 0.05445273889325368im
0.13354152357331348 + 0.0im	-0.3680723249839706 - 0.13150891897137593im	-0.2707615772490478 - 0.07597914711633195im	-0.27076157724904787 - 0.07597914711633193im	-0.09731073213414511 - 0.05552977185493884im
0.1348769388090466 + 0.0im	-0.3697643845030715 - 0.13445420516720286im	-0.27158713103162885 - 0.07781743162319521im	-0.2715871310316289 - 0.07781743162319521im	-0.09817724828013051 - 0.05663677354390232im
0.13622570819713709 + 0.0im	-0.37143692764754205 - 0.1374768953353611im	-0.27240034633960997 - 0.07970273039303068im	-0.27240034633960997 - 0.07970273039303068im	-0.09903657372984963 - 0.05777416494222519im
0.13758796527910847 + 0.0im	-0.373087634125208 - 0.1405779966333147im	-0.273199821022013 - 0.08163564897443804im	-0.27319982102201296 - 0.08163564897443801im	-0.09988780265746117 - 0.058942347658771314im
0.13896384493189956 + 0.0im	-0.37471410772367636 - 0.1437584612873388im	-0.27398409726014855 - 0.08361675903060475im	-0.27398409726014855 - 0.0836167590306047im	-0.10073001230477471 - 0.06014170225662889im
0.14035348338121856 + 0.0im	-0.37631388352543066 - 0.14701918219829307im	-0.2747516706563648 - 0.08564659565168256im	-0.27475167065636485 - 0.08564659565168262im	-0.10156220788207913 - 0.061372586546505105im
0.14175701821503076 + 0.0im	-0.37788436654249463 - 0.15036098847000515im	-0.2755009691501444 - 0.08772565462065339im	-0.2755009691501444 - 0.08772565462065339im	-0.10238339736042715 - 0.06263533384924641im
0.14317458839718106 + 0.0im	-0.3794229612852665 - 0.15378464086924343im	-0.2762304027616351 - 0.08985438963821946im	-0.2762304027616352 - 0.08985438963821948im	-0.10319255225548825 - 0.06393025123091849im
0.14460633428115288 + 0.0im	-0.38092687827994254 - 0.15729082722692328im	-0.27693831019845105 - 0.09203320951267022im	-0.2769383101984511 - 0.09203320951267023im	-0.10398860839420895 - 0.06525761771414773im
0.1460523976239644 + 0.0im	-0.38239340853160825 - 0.1608801577908759im	-0.2776229529812796 - 0.09426247532108574im	-0.2776229529812796 - 0.09426247532108574im	-0.10477045356691629 - 0.0666176824696845im
0.14751292160020404 + 0.0im	-0.3838197206122455 - 0.16455316054116684im	-0.2782826871485946 - 0.09654249754865027im	-0.27828268714859467 - 0.09654249754865021im	-0.10553703253611857 - 0.068010662992411im
0.14898805081620609 + 0.0im	-0.3852027448884893 - 0.16831027647961636im	-0.27891562823038846 - 0.09887353321324041im	-0.2789156282303885 - 0.09887353321324038im	-0.10628712432301285 - 0.06943674326627026im
0.15047793132436815 + 0.0im	-0.38653955102236104 - 0.1721518549058063im	-0.27951997616668145 - 0.1012557829828545im	-0.27951997616668145 - 0.10125578298285452im	-0.10701956769252319 - 0.07089607192284608im
0.15198271063761185 + 0.0im	-0.38782702474215963 - 0.17607814869249055im	-0.28009384674129056 - 0.10368938829381963im	-0.28009384674129045 - 0.10368938829381964im	-0.10773317597120922 - 0.07238876039856502im
0.15350253774398798 + 0.0im	-0.3890620066323744 - 0.1800893095739237im	-0.280635323729025 - 0.10617442847808828im	-0.280635323729025 - 0.10617442847808828im	-0.1084266918438924 - 0.07391488109572943im
0.15503756312142786 + 0.0im	-0.39024134579907577 - 0.18418538346120378im	-0.2811424669735843 - 0.10871091790828138im	-0.28114246697358436 - 0.10871091790828134im	-0.10909888143981006 - 0.07547446555281644im
0.15658793875264213 + 0.0im	-0.3913617220407944 - 0.18836630579927227im	-0.2816132737490206 - 0.11129880316947291im	-0.2816132737490207 - 0.11129880316947291im	-0.10974844702636354 - 0.07706750262969313im
0.15815381814016855 + 0.0im	-0.3924198000241196 - 0.19263189698072988im	-0.2820457144732096 - 0.11393796026702077im	-0.28204571447320964 - 0.1139379602670208im	-0.110374084257114 - 0.0786939367136027im
0.15973535632157024 + 0.0im	-0.39341218468119743 - 0.1969818578321131im	-0.2824377235481832 - 0.11662819188004174im	-0.2824377235481832 - 0.11662819188004174im	-0.11097447080213511 - 0.08035366595196507im
0.16133270988478593 + 0.0im	-0.39433551184879945 - 0.2014157651887088im	-0.2827872491193547 - 0.11936922467039388im	-0.2827872491193547 - 0.11936922467039385im	-0.11154819693248569 - 0.08204654051820823im
0.1629460369836338 + 0.0im	-0.3951862319999608 - 0.20593306757438504im	-0.2830921404926847 - 0.122160706657269im	-0.2830921404926848 - 0.122160706657269im	-0.11209408916424497 - 0.08377236091700917im
0.16457549735347013 + 0.0im	-0.3959608520215762 - 0.21053308100326643im	-0.28335027612441693 - 0.1250022046677044im	-0.2833502761244169 - 0.1250022046677044im	-0.11261057964770983 - 0.08553087633545492im
0.16622125232700483 + 0.0im	-0.3966558003382165 - 0.2152149849203779im	-0.2835594724258206 - 0.12789320187350772im	-0.2835594724258205 - 0.1278932018735077im	-0.11309632856108963 - 0.08732178304676272im
0.1678834648502749 + 0.0im	-0.3972675198969225 - 0.21997781829862315im	-0.2837175823714913 - 0.13083309542522623im	-0.2837175823714913 - 0.13083309542522623im	-0.1135499408999243 - 0.08914472287328956im
0.16956229949877763 + 0.0im	-0.3977923796308637 - 0.22482047590965393im	-0.28382239063411807 - 0.13382119419390348im	-0.28382239063411807 - 0.13382119419390348im	-0.11396999037659604 - 0.09099928171564274im
0.1712579224937654 + 0.0im	-0.39822675000378693 - 0.2297417047863038im	-0.2838716978093415 - 0.13685671663144008im	-0.28387169780934157 - 0.13685671663144008im	-0.11435505283050319 - 0.0928849881547557im
