w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
3.0209219894289894e-6 + 0.0im	-0.9725927329528022 - 1.0554372883859815im	-5.685672706737533 + 0.7007832227883272im	-5.685672706737533 + 0.700783222788327im	4.713080046933675 - 1.75622051117435im
3.0511312093232794e-6 + 0.0im	-0.9725967179020025 - 1.0554370069539225im	-5.685660185667475 + 0.7007818165673837im	-5.685660185667471 + 0.7007818165673837im	4.713063540847154 - 1.7562188235213496im
3.081642521416512e-6 + 0.0im	-0.972600734340707 - 1.055436727979479im	-5.685647654098899 + 0.7007803972998036im	-5.685647654098895 + 0.7007803972998037im	4.713046992560925 - 1.7562171252793242im
3.1124589466306772e-6 + 0.0im	-0.9726047817680652 - 1.0554364519645978im	-5.685635112072919 + 0.7007789656434608im	-5.685635112072917 + 0.700778965643461im	4.713030403047067 - 1.7562154176080995im
3.143583536096984e-6 + 0.0im	-0.9726088602256502 - 1.0554361793746658im	-5.6856225593376815 + 0.7007775222543241im	-5.685622559337678 + 0.7007775222543243im	4.713013771794443 - 1.7562137016290322im
3.1750193714579536e-6 + 0.0im	-0.9726129695159622 - 1.0554359106344273im	-5.685609995841985 + 0.7007760677798479im	-5.685609995841982 + 0.7007760677798479im	4.712997098949224 - 1.7562119784143133im
3.2067695651725334e-6 + 0.0im	-0.9726171094153366 - 1.055435646124254im	-5.685597421591512 + 0.7007746028524414im	-5.685597421591509 + 0.7007746028524412im	4.7129803847407175 - 1.756210248976735im
3.2388372608242586e-6 + 0.0im	-0.9726212796532225 - 1.0554353861767758im	-5.685584836727147 + 0.7007731280830539im	-5.685584836727143 + 0.7007731280830537im	4.712963629580315 - 1.7562085142598698im
3.271225633432501e-6 + 0.0im	-0.9726254800289638 - 1.055435131073926im	-5.685572241057015 + 0.7007716440549497im	-5.685572241057011 + 0.7007716440549502im	4.7129468334769795 - 1.7562067751289145im
3.303937889766826e-6 + 0.0im	-0.9726297101330372 - 1.0554348810443976im	-5.68555963522324 + 0.700770151317704im	-5.685559635223237 + 0.7007701513177039im	4.71292999748209 - 1.7562050323621399im
3.3369772686644945e-6 + 0.0im	-0.9726339696950014 - 1.0554346362615679im	-5.685547019283276 + 0.7007686503814856im	-5.685547019283272 + 0.7007686503814856im	4.7129131220577785 - 1.75620328664309im
3.3703470413511396e-6 + 0.0im	-0.9726382583773997 - 1.0554343968418671im	-5.685534393577757 + 0.7007671417116602im	-5.685534393577757 + 0.7007671417116605im	4.712896221341346 - 1.7562015385535632im
3.4040505117646513e-6 + 0.0im	-0.9726425758373423 - 1.05543416284364im	-5.6855217584938 + 0.7007656257237733im	-5.685521758493797 + 0.7007656257237735im	4.712879268741235 - 1.7561997885674483im
3.4380910168822977e-6 + 0.0im	-0.9726469217422166 - 1.0554339342664811im	-5.685509114417842 + 0.7007641027789366im	-5.685509114417839 + 0.7007641027789366im	4.712862278790439 - 1.7561980370454515im
3.4724719270511207e-6 + 0.0im	-0.9726512957359726 - 1.055433711051078im	-5.685496461890316 + 0.7007625731796701im	-5.685496461890316 + 0.7007625731796701im	4.7128452522140325 - 1.7561962842307834im
3.507196646321632e-6 + 0.0im	-0.9726556974968357 - 1.05543349307953im	-5.68548380138336 + 0.7007610371662258im	-5.6854838013833575 + 0.7007610371662256im	4.712828191789761 - 1.7561945302457933im
3.5422686127848485e-6 + 0.0im	-0.9726601266998337 - 1.055433280176171im	-5.685471133448084 + 0.7007594949134244im	-5.685471133448081 + 0.7007594949134245im	4.712811094594314 - 1.7561927750896293im
3.577691298912697e-6 + 0.0im	-0.9726645831577179 - 1.0554330721088674im	-5.685458458634693 + 0.7007579465280329im	-5.685458458634689 + 0.7007579465280327im	4.712793963266426 - 1.7561910186369334im
3.6134682119018243e-6 + 0.0im	-0.9726690663630364 - 1.0554328685907879im	-5.685445777582453 + 0.7007563920466955im	-5.68544577758245 + 0.7007563920466954im	4.712776798952944 - 1.7561892606375178im
3.649602894020843e-6 + 0.0im	-0.9726735762536444 - 1.0554326692826366im	-5.6854330908621336 + 0.7007548314344519im	-5.68543309086213 + 0.700754831434452im	4.712759602286678 - 1.7561875007171233im
3.6860989229610515e-6 + 0.0im	-0.9726781127417209 - 1.055432473795313im	-5.685420399019145 + 0.7007532645838314im	-5.685420399019145 + 0.7007532645838312im	4.71274237390079 - 1.7561857383791752im
3.722959912190662e-6 + 0.0im	-0.9726826751817577 - 1.0554322816929882im	-5.685407702896743 + 0.7007516913145412im	-5.685407702896743 + 0.7007516913145412im	4.712725115284324 - 1.7561839730075626im
3.760189511312569e-6 + 0.0im	-0.972687263964308 - 1.0554320924965874im	-5.6853950028501545 + 0.7007501113737618im	-5.6853950028501545 + 0.7007501113737616im	4.71270782640165 - 1.7561822038703807im
3.7977914064256944e-6 + 0.0im	-0.9726918786919806 - 1.0554319056875965im	-5.685382299655181 + 0.7007485244370163im	-5.685382299655179 + 0.7007485244370162im	4.712690508426202 - 1.7561804301246462im
3.835769320489951e-6 + 0.0im	-0.9726965195548403 - 1.0554317207122401im	-5.6853695937441415 + 0.7007469301096374im	-5.685369593744139 + 0.7007469301096375im	4.712673161600028 - 1.7561786508219073im
3.874127013694851e-6 + 0.0im	-0.9727011863822733 - 1.0554315369859053im	-5.6853568858226735 + 0.7007453279287975im	-5.685356885822671 + 0.7007453279287975im	4.712655786799675 - 1.7561768649147338im
3.9128682838317996e-6 + 0.0im	-0.9727058795894866 - 1.0554313538978615im	-5.6853441761145955 + 0.7007437173660906im	-5.685344176114589 + 0.7007437173660906im	4.712638383832867 - 1.7561750712639828im
3.951996966670117e-6 + 0.0im	-0.9727105986690774 - 1.0554311708161674im	-5.685331465710999 + 0.7007420978306492im	-5.685331465710996 + 0.7007420978306494im	4.712620954300336 - 1.7561732686468476im
3.991516936336819e-6 + 0.0im	-0.9727153444057979 - 1.0554309870927652im	-5.68531875450663 + 0.7007404686727579im	-5.685318754506627 + 0.700740468672758im	4.712603497310116 - 1.756171455765555im
4.031432105700187e-6 + 0.0im	-0.9727201168698892 - 1.0554308020687069im	-5.6853060430788815 + 0.7007388291879434im	-5.685306043078878 + 0.7007388291879435im	4.712586013370221 - 1.7561696312566808im
4.071746426757189e-6 + 0.0im	-0.9727249165288411 - 1.0554306150794572im	-5.685293331413115 + 0.7007371786215015im	-5.685293331413115 + 0.7007371786215016im	4.712568502363118 - 1.7561677937009879im
4.112463891024761e-6 + 0.0im	-0.9727297432940322 - 1.0554304254602556im	-5.685280620926805 + 0.7007355161734214im	-5.685280620926801 + 0.7007355161734214im	4.7125509647017845 - 1.7561659416337065im
4.153588529935009e-6 + 0.0im	-0.972734598094858 - 1.0554302325514637im	-5.685267910711845 + 0.7007338410036665im	-5.685267910711845 + 0.7007338410036664im	4.7125333996439 - 1.7561640735551591im
4.195124415234359e-6 + 0.0im	-0.9727394812656442 - 1.0554300357038793im	-5.685255201328824 + 0.700732152237775im	-5.685255201328821 + 0.700732152237775im	4.712515807053456 - 1.7561621879416829im
4.237075659386702e-6 + 0.0im	-0.9727443933706447 - 1.0554298342839468im	-5.685242492877219 + 0.7007304489727184im	-5.685242492877216 + 0.7007304489727185im	4.712498186474805 - 1.7561602832566936im
4.279446415980569e-6 + 0.0im	-0.9727493350225369 - 1.055429627678845im	-5.685229785352952 + 0.7007287302829786im	-5.685229785352949 + 0.7007287302829788im	4.712480537355277 - 1.7561583579618563im
4.3222408801403745e-6 + 0.0im	-0.972754307009588 - 1.0554294153013979im	-5.685217079197406 + 0.700726995226799im	-5.685217079197402 + 0.7007269952267993im	4.712462858655901 - 1.7561564105282261im
4.3654632889417784e-6 + 0.0im	-0.9727593098465989 - 1.055429196594762im	-5.685204373375467 + 0.7007252428525372im	-5.685204373375464 + 0.7007252428525372im	4.712445150202176 - 1.7561544394473272im
4.409117921831196e-6 + 0.0im	-0.9727643444711196 - 1.055428971036866im	-5.685191668381373 + 0.7007234722050897im	-5.685191668381373 + 0.7007234722050901im	4.712427410574021 - 1.7561524432419842im
4.453209101049508e-6 + 0.0im	-0.9727694116829662 - 1.0554287381445537im	-5.68517896384271 + 0.7007216823323172im	-5.68517896384271 + 0.7007216823323171im	4.712409638792585 - 1.7561504204769003im
4.4977411920600035e-6 + 0.0im	-0.9727745123539415 - 1.0554284974774006im	-5.685166259437897 + 0.7007198722914253im	-5.685166259437897 + 0.7007198722914255im	4.71239183367959 - 1.7561483697688574im
4.542718603980604e-6 + 0.0im	-0.9727796473980354 - 1.0554282486411795im	-5.685153554781371 + 0.7007180411552517im	-5.685153554781367 + 0.7007180411552518im	4.712373993939263 - 1.7561462897964588im
4.58814579002041e-6 + 0.0im	-0.9727848177775092 - 1.0554279912909246im	-5.6851408493734725 + 0.700716188018394im	-5.685140849373469 + 0.700716188018394im	4.7123561181111695 - 1.7561441793093486im
4.634027247920614e-6 + 0.0im	-0.9727900244006259 - 1.0554277251335993im	-5.685128142979805 + 0.7007143120031434im	-5.685128142979805 + 0.7007143120031433im	4.712338205052903 - 1.75614203713677im
4.68036752039982e-6 + 0.0im	-0.9727952683736826 - 1.05542744993032im	-5.6851154346368356 + 0.7007124122651641im	-5.6851154346368356 + 0.7007124122651642im	4.712320252695467 - 1.756139862195512im
4.7271711956038185e-6 + 0.0im	-0.9728005506711199 - 1.0554271654981293im	-5.685102723915999 + 0.7007104879988735im	-5.685102723915996 + 0.7007104879988735im	4.712302259635787 - 1.7561376534970305im
4.774442907559857e-6 + 0.0im	-0.9728058723396551 - 1.0554268717113056im	-5.685090010115555 + 0.7007085384424885im	-5.685090010115553 + 0.7007085384424885im	4.7122842241255585 - 1.7561354101538222im
4.822187336635455e-6 + 0.0im	-0.9728112344324156 - 1.055426568502191im	-5.685077292500782 + 0.7007065628826771im	-5.68507729250078 + 0.7007065628826774im	4.7122661443769935 - 1.7561331313848974im
4.870409210001809e-6 + 0.0im	-0.9728166380081473 - 1.0554262558615404im	-5.685064570293937 + 0.7007045606588im	-5.6850645702939335 + 0.7007045606588002im	4.712248018553654 - 1.7561308165203688im
4.919113302101827e-6 + 0.0im	-0.9728220841344437 - 1.055425933838377im	-5.685051842676406 + 0.700702531166687im	-5.685051842676406 + 0.7007025311666871im	4.712229844769358 - 1.7561284650050923im
4.968304435122846e-6 + 0.0im	-0.9728275737719349 - 1.0554256025393611im	-5.685039108814841 + 0.7007004738619318im	-5.685039108814839 + 0.7007004738619321im	4.712211621230207 - 1.7561260764013236im
5.017987479474074e-6 + 0.0im	-0.9728331081284957 - 1.0554252621276974im	-5.6850263677986215 + 0.7006983882626706im	-5.685026367798618 + 0.7006983882626707im	4.712193345817644 - 1.7561236503903979im
5.068167354268815e-6 + 0.0im	-0.9728386881197564 - 1.055424912821545im	-5.685013618747137 + 0.700696273951826im	-5.685013618747133 + 0.700696273951826im	4.712175016735494 - 1.7561211867733995im
5.118849027811503e-6 + 0.0im	-0.9728443147694972 - 1.0554245548919805im	-5.685000860739047 + 0.7006941305787945im	-5.685000860739043 + 0.7006941305787947im	4.712156632038638 - 1.756118685470803im
5.170037518089618e-6 + 0.0im	-0.9728499890592012 - 1.0554241886605342im	-5.6849880928461305 + 0.7006919578605645im	-5.684988092846127 + 0.7006919578605647im	4.712138189817397 - 1.7561161465211281im
5.221737893270515e-6 + 0.0im	-0.9728557119396379 - 1.0554238144962904im	-5.684975314136516 + 0.7006897555822642im	-5.684975314136512 + 0.700689755582264im	4.712119688189145 - 1.756113570078585im
5.27395527220322e-6 + 0.0im	-0.9728614843291505 - 1.0554234328125889im	-5.684962523679871 + 0.7006875235971202im	-5.684962523679871 + 0.7006875235971202im	4.712101125305227 - 1.7561109564097386im
5.326694824925252e-6 + 0.0im	-0.972867334631206 - 1.0554230440633798im	-5.6849497208671025 + 0.7006852618258408im	-5.6849497208671 + 0.7006852618258408im	4.71208249967685 - 1.7561083058892508im
5.379961773174505e-6 + 0.0im	-0.9728731810746022 - 1.0554226487392169im	-5.684936903883338 + 0.7006829702554267im	-5.684936903883336 + 0.7006829702554269im	4.712063808689289 - 1.7561056189946724im
5.43376139090625e-6 + 0.0im	-0.9728791070851261 - 1.0554222473629598im	-5.684924072739004 + 0.7006806489374111im	-5.684924072739004 + 0.7006806489374112im	4.712045051498388 - 1.7561028963004035im
5.488099004815313e-6 + 0.0im	-0.9728850858534036 - 1.0554218404852116im	-5.684911226287484 + 0.7006782979855553im	-5.684911226287481 + 0.7006782979855554im	4.7120262262434585 - 1.7561001384707966im
5.5429799948634656e-6 + 0.0im	-0.9728911180774762 - 1.0554214286795056im	-5.6848983637048445 + 0.7006759175730116im	-5.6848983637048445 + 0.7006759175730121im	4.7120073314030435 - 1.7560973462525482im
5.598409794812101e-6 + 0.0im	-0.9728972044015772 - 1.0554210125373278im	-5.684885484207842 + 0.700673507928984im	-5.684885484207842 + 0.7006735079289842im	4.711988365551133 - 1.7560945204663447im
5.654393892760222e-6 + 0.0im	-0.9729033454112862 - 1.0554205926629678im	-5.684872587063527 + 0.7006710693349062im	-5.684872587063527 + 0.7006710693349062im	4.7119693273756 - 1.7560916619979072im
5.710937831687824e-6 + 0.0im	-0.9729095414813846 - 1.055420169668274im	-5.684859671765899 + 0.7006686021201765im	-5.684859671765896 + 0.7006686021201767im	4.7119502155103765 - 1.7560887717884828im
5.768047210004702e-6 + 0.0im	-0.9729157937532019 - 1.0554197441673454im	-5.684846736929312 + 0.7006661066574779im	-5.684846736929312 + 0.7006661066574781im	4.711931028750769 - 1.756085850824858im
5.825727682104749e-6 + 0.0im	-0.9729221018618988 - 1.0554193167711956im	-5.684833782874644 + 0.7006635833577305im	-5.68483378287464 + 0.7006635833577308im	4.711911766578455 - 1.75608290012896im
5.883984958925797e-6 + 0.0im	-0.972928466526378 - 1.0554188880824518im	-5.684820808690676 + 0.70066103266471im	-5.684820808690673 + 0.70066103266471im	4.711892427702949 - 1.7560799207471964im
5.942824808515055e-6 + 0.0im	-0.9729348880564009 - 1.0554184586901136im	-5.684807813934246 + 0.7006584550493822im	-5.684807813934246 + 0.7006584550493823im	4.711873011385879 - 1.7560769137395302im
6.002253056600205e-6 + 0.0im	-0.9729413667261695 - 1.0554180291644304im	-5.684794798209569 + 0.7006558510039986im	-5.684794798209569 + 0.700655851003999im	4.711853516959675 - 1.7560738801684628im
6.062275587166207e-6 + 0.0im	-0.9729479027668353 - 1.0554176000519249im	-5.684781761178216 + 0.700653221036im	-5.684781761178212 + 0.700653221036im	4.711833943855542 - 1.7560708210879599im
6.12289834303787e-6 + 0.0im	-0.9729544961252725 - 1.0554171718706171im	-5.684768703039228 + 0.7006505656617796im	-5.684768703039228 + 0.7006505656617797im	4.711814291958989 - 1.7560677375324345im
6.184127326468248e-6 + 0.0im	-0.9729611475766609 - 1.0554167451054879im	-5.684755622342819 + 0.7006478854003627im	-5.684755622342816 + 0.7006478854003628im	4.711794560145795 - 1.756064630505889im
6.245968599732931e-6 + 0.0im	-0.9729678566269327 - 1.055416320204194im	-5.684742520129818 + 0.7006451807670401im	-5.684742520129818 + 0.7006451807670401im	4.7117747488505515 - 1.7560615009712734im
6.308428285730261e-6 + 0.0im	-0.9729746235153036 - 1.0554158975731178im	-5.6847293959924 + 0.7006424522670259im	-5.6847293959924 + 0.7006424522670263im	4.71175485779297 - 1.756058349840183im
6.371512568587564e-6 + 0.0im	-0.9729814482735403 - 1.0554154775737323im	-5.684716249934157 + 0.7006397003891778im	-5.684716249934151 + 0.700639700389178im	4.711734886944916 - 1.7560551779629492im
6.43522769427344e-6 + 0.0im	-0.9729883309027965 - 1.0554150605193486im	-5.68470308202627 + 0.7006369255998374im	-5.68470308202627 + 0.7006369255998376im	4.711714836376448 - 1.7560519861192263im
6.4995799712161745e-6 + 0.0im	-0.9729952713510043 - 1.0554146466722605im	-5.684689892704014 + 0.7006341283368389im	-5.684689892704014 + 0.7006341283368392im	4.71169470657475 - 1.7560487750091405im
6.564575770928336e-6 + 0.0im	-0.9730022696553937 - 1.0554142362412948im	-5.684676681341604 + 0.7006313090037396im	-5.684676681341604 + 0.70063130900374im	4.711674496877267 - 1.7560455452450756im
6.630221528637619e-6 + 0.0im	-0.9730093256835151 - 1.0554138293798188im	-5.684663448981882 + 0.7006284679643122im	-5.684663448981882 + 0.7006284679643127im	4.7116542084588655 - 1.7560422973441727im
6.696523743923996e-6 + 0.0im	-0.9730164393934649 - 1.0554134261841914im	-5.684650195695264 + 0.7006256055373455im	-5.684650195695261 + 0.7006256055373459im	4.711633841432002 - 1.7560390317215793im
6.763488981363236e-6 + 0.0im	-0.9730236107179503 - 1.055413026692684im	-5.684636921843589 + 0.7006227219918063im	-5.684636921843589 + 0.7006227219918066im	4.711613396225804 - 1.7560357486845315im
6.8311238711768685e-6 + 0.0im	-0.9730308396489559 - 1.0554126308848866im	-5.684623627897542 + 0.7006198175423807im	-5.684623627897539 + 0.7006198175423809im	4.711592873318917 - 1.7560324484273098im
6.899435109888637e-6 + 0.0im	-0.9730381259111619 - 1.0554122386815785im	-5.684610314080564 + 0.7006168923454558im	-5.684610314080564 + 0.7006168923454562im	4.711572273210308 - 1.75602913102708im
6.968429460987523e-6 + 0.0im	-0.9730454697006959 - 1.0554118499451064im	-5.684596981133866 + 0.7006139464955552im	-5.684596981133866 + 0.7006139464955555im	4.711551596444821 - 1.7560257964407064im
7.038113755597398e-6 + 0.0im	-0.9730528708916328 - 1.0554114644802155im	-5.684583629470941 + 0.7006109800222604im	-5.684583629470941 + 0.7006109800222609im	4.711530843561963 - 1.7560224445025239im
7.108494893153372e-6 + 0.0im	-0.9730603294896878 - 1.0554110820353737im	-5.684570259635461 + 0.7006079928876572im	-5.684570259635461 + 0.7006079928876573im	4.7115100150996705 - 1.7560190749230769im
7.179579842084906e-6 + 0.0im	-0.9730678454569508 - 1.0554107023045398im	-5.68455687217382 + 0.7006049849843038im	-5.684556872173817 + 0.700604984984304im	4.711489111642279 - 1.7560156872888915im
7.251375640505755e-6 + 0.0im	-0.9730754189325231 - 1.055410324929396im	-5.6845434676710225 + 0.7006019561337581im	-5.6845434676710225 + 0.7006019561337581im	4.711468133635646 - 1.7560122810632024im
7.323889396910813e-6 + 0.0im	-0.973083049953305 - 1.0554099495019882im	-5.684530046696942 + 0.7005989060856639im	-5.684530046696942 + 0.7005989060856641im	4.711447081612755 - 1.7560088555876998im
7.397128290879921e-6 + 0.0im	-0.9730907387297736 - 1.055409575567792im	-5.684516609779462 + 0.7005958345174035im	-5.684516609779462 + 0.7005958345174038im	4.7114259558909355 - 1.756005410085245im
7.47109957378872e-6 + 0.0im	-0.9730984852920159 - 1.0554092026291402im	-5.68450315757954 + 0.7005927410343246im	-5.68450315757954 + 0.7005927410343247im	4.7114047571011906 - 1.756001943663517im
7.5458105695266075e-6 + 0.0im	-0.973106290050303 - 1.055408830149021im	-5.68448969052782 + 0.7005896251705327im	-5.68448969052782 + 0.700589625170533im	4.711383485263689 - 1.7559984553196055im
