w	self_d_u-A_d_u	self_d_d-A_d_u	self_d_u-A_d_d	self_d_d-A_d_d
0.0008603592236098042 + 0.0im	-0.9626684663625553 - 0.03289103560723142im	-0.025627239026508923 - 0.16982329291894876im	-0.025627239026506904 - 0.1698232929189489im	-0.9370412175120636 + 0.13693225731206454im
0.0008689628158459023 + 0.0im	-0.9626790879094345 - 0.032924656029329785im	-0.025674085662205165 - 0.16981231808949593im	-0.025674085662203187 - 0.16981231808949598im	-0.9370049924226489 + 0.13688766206051256im
0.0008776524440043613 + 0.0im	-0.962689841915503 - 0.03295861969207004im	-0.025721394901631937 - 0.16980125678619654im	-0.02572139490162995 - 0.1698012567861966im	-0.9369684371887197 + 0.13684263709447197im
0.0008864289684444049 + 0.0im	-0.9627007299955257 - 0.03299293017611735im	-0.025769171424878428 - 0.1697901086013054im	-0.025769171424876378 - 0.16979010860130542im	-0.9369315487449602 + 0.13679717842553263im
0.000895293258128849 + 0.0im	-0.962711753709325 - 0.03302759110472948im	-0.02581741975579294 - 0.16977887312791948im	-0.02581741975579095 - 0.1697788731279195im	-0.9368943241273372 + 0.1367512820235339im
0.0009042461907101375 + 0.0im	-0.9627229146839618 - 0.03306260614468194im	-0.02586614457361394 - 0.1697675499601961im	-0.02586614457361198 - 0.16976754996019608im	-0.9368567602836748 + 0.136704943815857im
0.0009132886526172388 + 0.0im	-0.9627342145327975 - 0.033097979007191795im	-0.025915350526631572 - 0.1697561386936079im	-0.02591535052662956 - 0.16975613869360792im	-0.9368188541790354 + 0.13665815968675823im
0.0009224215391434112 + 0.0im	-0.9627456543797358 - 0.03313371344883841im	-0.0259650425516476 - 0.16974463892524164im	-0.02596504255164568 - 0.16974463892524175im	-0.9367806026404344 + 0.13661092547674447im
0.0009316457545348453 + 0.0im	-0.9627572371008704 - 0.03316981327247859im	-0.026015225266236383 - 0.16973305025413526im	-0.026015225266234364 - 0.16973305025413535im	-0.9367420026466339 + 0.13656323698199696im
0.0009409622120801938 + 0.0im	-0.9627689638022 - 0.033206282328153314im	-0.026065903577866117 - 0.16972137228165565im	-0.026065903577864025 - 0.16972137228165568im	-0.9367030510360154 + 0.13651508995384146im
0.0009503718342009958 + 0.0im	-0.96278083625433 - 0.033243124513984756im	-0.026117082434022863 - 0.16970960461191567im	-0.026117082434020823 - 0.16970960461191562im	-0.9366637446317092 + 0.13646648009826903im
0.0009598755525430058 + 0.0im	-0.962792856189894 - 0.03328034377706058im	-0.02616876673223041 - 0.16969774685222902im	-0.026168766732228458 - 0.169697746852229im	-0.9366240802688095 + 0.1364174030755058im
0.0009694743080684359 + 0.0im	-0.9628050254227508 - 0.03331794411430458im	-0.02622096151301427 - 0.16968579861360247im	-0.026220961513012286 - 0.1696857986136025im	-0.9365840547206589 + 0.13636785449963432im
0.0009791690511491203 + 0.0im	-0.9628173457582345 - 0.033355929573331895im	-0.026273671818035544 - 0.16967375951126365im	-0.026273671818033563 - 0.1696737595112636im	-0.9365436647509237 + 0.13631782993826727im
0.0009889607416606115 + 0.0im	-0.9628298190709045 - 0.03339430425328713im	-0.026326902801391508 - 0.16966162916522237im	-0.02632690280138956 - 0.16966162916522237im	-0.9365029070800789 + 0.13626732491226962im
0.0009988503490772176 + 0.0im	-0.9628424471866122 - 0.0334330723056646im	-0.026380659579472596 - 0.1696494072008643im	-0.026380659579470687 - 0.16964940720086427im	-0.9364617784175661 + 0.13621633489553298im
0.0010088388525679897 + 0.0im	-0.9628552320640401 - 0.033472237935110075im	-0.026434947453890686 - 0.1696370932495755im	-0.026434947453888722 - 0.16963709324957554im	-0.9364202754204857 + 0.13616485531479774im
0.0010189272410936695 + 0.0im	-0.9628681755573828 - 0.033511805400202724im	-0.02648977162968287 - 0.16962468694939384im	-0.026489771629680883 - 0.1696246869493938im	-0.9363783947379622 + 0.13611288154952256im
0.0010291165135046063 + 0.0im	-0.9628812796413235 - 0.03355177901421807im	-0.026545137480526126 - 0.1696121879456871im	-0.026545137480524006 - 0.1696121879456872im	-0.9363361329710179 + 0.1360604089317993im
0.0010394076786396523 + 0.0im	-0.9628945462689449 - 0.03359216314587082im	-0.026601050384823893 - 0.16959959589185353im	-0.02660105038482183 - 0.16959959589185347im	-0.9362934866943231 + 0.13600743274631194im
0.001049801755426049 + 0.0im	-0.9629079775120135 - 0.033632962220038684im	-0.02665751587755133 - 0.16958691045004393im	-0.02665751587754941 - 0.16958691045004384im	-0.9362504524447004 + 0.13595394823033344im
0.0010602997729803093 + 0.0im	-0.9629215752895667 - 0.0336741807184672im	-0.026714539366118967 - 0.1695741312919017im	-0.026714539366117 - 0.16957413129190155im	-0.9362070267337341 + 0.13589995057376172im
0.0010709027707101124 + 0.0im	-0.9629353416984053 - 0.03371582318045716im	-0.02677212647743787 - 0.1695612580993183im	-0.02677212647743597 - 0.16956125809931819im	-0.9361632060313357 + 0.13584543491918716im
0.0010816117984172135 + 0.0im	-0.9629492788073583 - 0.033757894203534464im	-0.02683028284272877 - 0.169548290565202im	-0.026830282842726916 - 0.16954829056520185im	-0.9361189867751101 + 0.13579039636199278im
0.0010924279164013857 + 0.0im	-0.9629633887158199 - 0.03380039844410551im	-0.02688901415931006 - 0.16953522839425766im	-0.026889014159308024 - 0.16953522839425766im	-0.9360743653671352 + 0.13573482995047625im
0.0011033521955653995 + 0.0im	-0.9629776735340745 - 0.033843340618098135im	-0.026948326170078505 - 0.1695220713037725im	-0.026948326170076708 - 0.16952207130377242im	-0.9360293381722905 + 0.13567873068599723im
0.0011143857175210535 + 0.0im	-0.9629921354211591 - 0.03388672550159157im	-0.027008224707821944 - 0.16950881902440873im	-0.02700822470782013 - 0.16950881902440867im	-0.9359839015243379 + 0.13562209352313903im
0.001125529574696264 + 0.0im	-0.9630067792626676 - 0.03393055793143611im	-0.027068715661881203 - 0.1694954713009987im	-0.027068715661879364 - 0.16949547130099868im	-0.9359380517131721 + 0.13556491336988336im
0.0011367848704432267 + 0.0im	-0.9630216018493964 - 0.033974842805866386im	-0.027129804965455705 - 0.16948202789334002im	-0.027129804965453835 - 0.16948202789333983im	-0.9358917849965118 + 0.1355071850877933im
0.001148152719147659 + 0.0im	-0.9630366081094938 - 0.03401958508510974im	-0.02719149862836827 - 0.16946848857698835im	-0.027191498628366437 - 0.16946848857698818im	-0.9358450975939125 + 0.13544890349219735im
0.0011596342463391356 + 0.0im	-0.9630518002983923 - 0.03406478979199296im	-0.02725380272379984 - 0.1694548531440481im	-0.02725380272379798 - 0.16945485314404804im	-0.9357979856876241 + 0.13539006335237272im
0.001171230588802527 + 0.0im	-0.9630671807051928 - 0.03411046201255127im	-0.027316723396406447 - 0.16944112140395456im	-0.027316723396404778 - 0.16944112140395445im	-0.9357504454220938 + 0.13533065939171993im
0.0011829428946905523 + 0.0im	-0.9630827515557301 - 0.034156606896640726im	-0.027380266759369155 - 0.16942729318425104im	-0.0273802667593676 - 0.169427293184251im	-0.9357024729099706 + 0.13527068628792585im
0.0011947723236374577 + 0.0im	-0.963098515344161 - 0.03420322965855995im	-0.027444439246651565 - 0.16941336833135479im	-0.027444439246649775 - 0.16941336833135476im	-0.9356540642114528 + 0.1352101386731094im
0.0012067200468738324 + 0.0im	-0.9631144743239612 - 0.03425033557768244im	-0.027509247072184096 - 0.16939934671131326im	-0.027509247072182254 - 0.16939934671131313im	-0.9356052153660841 + 0.13514901113394442im
0.0012187872473425707 + 0.0im	-0.963130630907676 - 0.03429792999910477im	-0.027574696654426134 - 0.16938522821054852im	-0.027574696654424278 - 0.16938522821054833im	-0.9355559223679492 + 0.1350872982117562im
0.0012309751198159964 + 0.0im	-0.9631469875178679 - 0.03434601833431299im	-0.027640794457858133 - 0.16937101273658925im	-0.02764079445785632 - 0.1693710127365892im	-0.9355061811751303 + 0.13502499440258767im
0.0012432848710141563 + 0.0im	-0.9631635466060341 - 0.0343946060618725im	-0.0277075507175334 - 0.1693567002187894im	-0.027707550717531507 - 0.1693567002187894im	-0.9354559877086919 + 0.13496209415722735im
0.001255717719724298 + 0.0im	-0.9631803106591433 - 0.03444369872814329im	-0.02777496462780548 - 0.16934229060903344im	-0.027774964627803784 - 0.16934229060903333im	-0.9354053378520676 + 0.13489859188119965im
0.001268274896921541 + 0.0im	-0.9631972820980675 - 0.03449330194802609im	-0.02784304648387969 - 0.16932778388242864im	-0.027843046483877813 - 0.16932778388242858im	-0.9353542274875117 + 0.13483448193471087im
0.0012809576458907563 + 0.0im	-0.9632146815205225 - 0.03454342140574253im	-0.027911803117643484 - 0.16931318003798201im	-0.027911803117641572 - 0.16931318003798188im	-0.9353026523399294 + 0.134769758632547im
0.001293767222349664 + 0.0im	-0.9632318577397947 - 0.03459406285565249im	-0.027981241300092163 - 0.16929847909926773im	-0.02798124130009035 - 0.1692984790992677im	-0.9352506082622287 + 0.1347044162439218im
0.0013067048945731607 + 0.0im	-0.9632494670254916 - 0.034645232123113705im	-0.028051367874874524 - 0.1692836811150796im	-0.028051367874872696 - 0.16928368111507935im	-0.9351980909738037 + 0.13463844899227145im
0.0013197719435188923 + 0.0im	-0.9632672941363161 - 0.03469693510538572im	-0.028122189780325282 - 0.16926878616007288im	-0.02812218978032343 - 0.16926878616007285im	-0.9351450961798684 + 0.1345718510549917im
0.0013329696629540812 + 0.0im	-0.9632853417462779 - 0.034749177772583136im	-0.028193714019140836 - 0.16925379433539894im	-0.02819371401913912 - 0.16925379433539878im	-0.9350916319073557 + 0.1345046165631195im
0.001346299359583622 + 0.0im	-0.9633036125609387 - 0.03480196616868051im	-0.028265947658835517 - 0.16923870576932815im	-0.028265947658833723 - 0.16923870576932806im	-0.9350376690818138 + 0.1344367396009503im
0.0013597623531794582 + 0.0im	-0.9633221092618606 - 0.03485530641257303im	-0.028338897854139688 - 0.16922352061786922im	-0.028338897854137676 - 0.1692235206178692im	-0.9349832156795302 + 0.1343682142055981im
0.0013733599767112527 + 0.0im	-0.9633408349166859 - 0.03490920469919527im	-0.02841257189606504 - 0.16920823906538382im	-0.028412571896062656 - 0.16920823906538351im	-0.9349282671993693 + 0.13429903436648943im
0.0013870935764783653 + 0.0im	-0.9633597919726106 - 0.03496366730070185im	-0.028486976878625104 - 0.1691928613251982im	-0.028486976878623244 - 0.169192861325198im	-0.9348728209089003 + 0.1342291940247963im
0.001400964512243149 + 0.0im	-0.963378983462183 - 0.0350187005677124im	-0.02856212027981371 - 0.16917738764021814im	-0.028562120279811986 - 0.169177387640218im	-0.9348168689981594 + 0.13415868707280473im
0.0014149741573655805 + 0.0im	-0.9633984122724243 - 0.03507431093062295im	-0.028638009510012066 - 0.16916181828354518im	-0.02863800951001031 - 0.1691618182835451im	-0.9347604085790928 + 0.1340875073532203im
0.0014291238989392362 + 0.0im	-0.9634180815957986 - 0.03513050490098781im	-0.028714652065032886 - 0.16914615355910087im	-0.028714652065031213 - 0.1691461535591007im	-0.9347034350944206 + 0.13401564865841017im
0.0014434151379286286 + 0.0im	-0.9634379939062665 - 0.035187289072971674im	-0.02879205551509589 - 0.1691303938022605im	-0.02879205551509427 - 0.1691303938022603im	-0.9346459423138932 + 0.1339431047295853im
0.0014578492893079149 + 0.0im	-0.9634581524807384 - 0.03524467012487651im	-0.02887022750136967 - 0.1691145393805008im	-0.028870227501368095 - 0.16911453938050067im	-0.9345879289017164 + 0.13386986925591993im
0.001472427782200994 + 0.0im	-0.9634785604072568 - 0.035302654820743254im	-0.02894917576668096 - 0.16909859069406336im	-0.028949175766679304 - 0.16909859069406322im	-0.9345293885625651 + 0.13379593587361477im
0.001487152060023004 + 0.0im	-0.9634992182556054 - 0.03536125001203054im	-0.02902890806674843 - 0.16908254817663892im	-0.029028908066746826 - 0.16908254817663884im	-0.9344703166270153 + 0.13372129816490222im
0.001502023580623234 + 0.0im	-0.9635201342379014 - 0.03542046263937207im	-0.029109432294385548 - 0.16906641229607622im	-0.029109432294384004 - 0.16906641229607616im	-0.9344107083815635 + 0.13364594965699741im
0.0015170438164294664 + 0.0im	-0.9635413090450615 - 0.03548029973441349im	-0.02919075639301367 - 0.16905018355511908im	-0.029190756393012055 - 0.16905018355511905im	-0.9343505590900048 + 0.133569883820998im
0.001532214254593761 + 0.0im	-0.9635627459670046 - 0.03554076842172957im	-0.029272888385322434 - 0.16903386249217403im	-0.02927288838532091 - 0.16903386249217395im	-0.9342898639869736 + 0.13349309407073623im
0.0015475363971396987 + 0.0im	-0.9635844482417631 - 0.0356018759208229im	-0.02935583636733276 - 0.1690174496821158im	-0.029355836367331436 - 0.16901744968211563im	-0.9342286182796696 + 0.13341557376158367im
0.0015630117611110956 + 0.0im	-0.9636064192431464 - 0.035663629548204644im	-0.029439604856040275 - 0.16900094573713081im	-0.029439604856038637 - 0.16900094573713081im	-0.9341668171740445 + 0.13333731618921604im
0.0015786418787222065 + 0.0im	-0.96362866255908 - 0.03572603671955735im	-0.029524213260689356 - 0.16898435130760603im	-0.029524213260687427 - 0.16898435130760595im	-0.9341044557035963 + 0.13325831458833795im
0.0015944282975094285 + 0.0im	-0.963651181372167 - 0.03578910495198079im	-0.02960965864440381 - 0.16896766708306482im	-0.02960965864440207 - 0.1689676670830647im	-0.9340415291329769 + 0.13317856213137255im
0.0016103725804845228 + 0.0im	-0.9636739793343212 - 0.03585284186632034im	-0.029695953264936917 - 0.16895089379315464im	-0.029695953264935217 - 0.16895089379315442im	-0.9339780324934622 + 0.133098051927122im
0.001626476306289368 + 0.0im	-0.9636970600441581 - 0.03591725518957842im	-0.029783105614035563 - 0.1689340322086902im	-0.029783105614033863 - 0.16893403220869022im	-0.9339139608542523 + 0.13301677701939904im
0.0016427410693522616 + 0.0im	-0.9637204271075303 - 0.035982352757408756im	-0.029871124277288698 - 0.16891708314275738im	-0.029871124277287022 - 0.16891708314275733im	-0.9338493092544421 + 0.13293473038563497im
0.0016591684800457843 + 0.0im	-0.9637440829342405 - 0.03604814251669313im	-0.02995999487651274 - 0.1689000474518769im	-0.029959994876511103 - 0.16890004745187684im	-0.9337840727213441 + 0.1328519049354695im
0.0016757601648462422 + 0.0im	-0.9637680352375216 - 0.036114632528201275im	-0.03004979549962619 - 0.16888292603723937im	-0.030049795499624412 - 0.1688829260372392im	-0.9337182461623179 + 0.13276829350932315im
0.0016925177664947047 + 0.0im	-0.963792283747844 - 0.03618183096933247im	-0.030140465548298773 - 0.16886571984600596im	-0.03014046554829714 - 0.16886571984600582im	-0.9336518246240982 + 0.13268388887695792im
0.0017094429441596518 + 0.0im	-0.9638168337555886 - 0.03624974613693991im	-0.03023203719067136 - 0.16884842987268625im	-0.030232037190669817 - 0.16884842987268625im	-0.9335848029896243 + 0.1325986837360301im
0.0017265373736012482 + 0.0im	-0.9638416891760037 - 0.03631838645023686im	-0.03032451944342983 - 0.1688310571605901im	-0.030324519443428333 - 0.16883105716059002im	-0.9335171761574573 + 0.13251267071063624im
0.0017438027473372607 + 0.0im	-0.9638668539833426 - 0.0363877604537851im	-0.03041792141149088 - 0.16881360280336138im	-0.03041792141148948 - 0.1688136028033614im	-0.9334489389969274 + 0.13242584234985869im
0.0017612407748106333 + 0.0im	-0.9638923323429059 - 0.03645787682056524im	-0.03051225243575843 - 0.16879606794659308im	-0.030512252435756684 - 0.1687960679465931im	-0.9333800863324551 + 0.1323381911263096im
0.0017788531825587396 + 0.0im	-0.9639181282155758 - 0.036528744355129504im	-0.030607521649761618 - 0.1687784537895288im	-0.0306075216497599 - 0.16877845378952872im	-0.9333106129913586 + 0.13224970943468034im
0.001796641714384327 + 0.0im	-0.9639442458820351 - 0.03660037199683661im	-0.03070373856770028 - 0.1687607615868508im	-0.030703738567698608 - 0.1687607615868508im	-0.9332405137401409 + 0.1321603895902948im
0.0018146081315281702 + 0.0im	-0.9639706896032411 - 0.03667276882317031im	-0.030800912702443593 - 0.16874299265056167im	-0.03080091270244191 - 0.1687429926505616im	-0.933169783326892 + 0.13207022382767128im
0.0018327542128434519 + 0.0im	-0.9639974635250287 - 0.03674594405314134im	-0.03089905353590979 - 0.16872514835195526im	-0.03089905353590827 - 0.16872514835195518im	-0.933098416465237 + 0.13197920429909338im
0.0018510817549718863 + 0.0im	-0.9640245723975063 - 0.036819907050773835im	-0.03099817098076946 - 0.1687072301236842im	-0.03099817098076801 - 0.16870723012368422im	-0.933026407843441 + 0.13188732307318907im
0.0018695925725216052 + 0.0im	-0.964052020426327 - 0.0368946673286782im	-0.03109827474291379 - 0.16868923946192543im	-0.031098274742912182 - 0.16868923946192552im	-0.9329537521104685 + 0.13179457213352558im
0.0018882884982468213 + 0.0im	-0.9640798121859732 - 0.036970234551711015im	-0.031199370969912123 - 0.16867117792864225im	-0.03119937096991052 - 0.16867117792864217im	-0.9328804438748679 + 0.13170094337720878im
0.0019071713832292895 + 0.0im	-0.9641079522431296 - 0.037046618540724316im	-0.031301480917088606 - 0.16865304715394733im	-0.03130148091708717 - 0.16865304715394727im	-0.9328064777538426 + 0.13160642861350014im
0.0019262430970615823 + 0.0im	-0.9641364452434751 - 0.037123829276406436im	-0.03140459979650296 - 0.16863484883857005im	-0.031404599796501516 - 0.16863484883857005im	-0.9327318482634839 + 0.1315110195624401im
0.0019455055280321982 + 0.0im	-0.9641652962447139 - 0.03720187690321685im	-0.031508752719910826 - 0.16861658475642394im	-0.031508752719909314 - 0.16861658475642397im	-0.9326565499534513 + 0.13141470785348308im
0.0019649605833125202 + 0.0im	-0.9641946575629894 - 0.03728077173341773im	-0.031613938884282634 - 0.16859825675728152im	-0.031613938884281226 - 0.16859825675728154im	-0.9325809065461653 + 0.1313174850241393im
0.0019846101891456453 + 0.0im	-0.9642240906406029 - 0.03736052425120656im	-0.031720172357982274 - 0.16857986676955428im	-0.031720172357980705 - 0.16857986676955433im	-0.9325039247122041 + 0.13121934251862274im
0.002004456291037102 + 0.0im	-0.9642540436526552 - 0.037441145116952im	-0.031827463804528895 - 0.16856141680318018im	-0.03182746380452751 - 0.16856141680318015im	-0.9324265866104915 + 0.1311202716865025im
0.002024500853947473 + 0.0im	-0.9642843747931112 - 0.037522645171539006im	-0.03193582376197635 - 0.1685429089526201im	-0.031935823761975034 - 0.16854290895262022im	-0.932348557461719 + 0.131020263781355im
0.0020447458624869475 + 0.0im	-0.9643150882457342 - 0.03760503544082657im	-0.03204526317094182 - 0.16852434539996536im	-0.03204526317094038 - 0.16852434539996544im	-0.9322698315059215 + 0.1309193099594121im
0.002065193321111817 + 0.0im	-0.9643461894908271 - 0.03768832714022396im	-0.03215579284746219 - 0.1685057284181535im	-0.03215579284746078 - 0.16850572841815353im	-0.9321904030750628 + 0.13081740127820232im
0.0020858452543229353 + 0.0im	-0.9643776836201753 - 0.037772531679390944im	-0.03226742379937162 - 0.16848706037429947im	-0.0322674237993703 - 0.16848706037429953im	-0.9321102663319775 + 0.13071452869518085im
0.0021067037068661647 + 0.0im	-0.9644095764348001 - 0.037857660667068256im	-0.03238016707551027 - 0.16846834373313943im	-0.03238016707550895 - 0.16846834373313954im	-0.9320294157921651 + 0.1306106830663431im
0.0021277707439348263 + 0.0im	-0.9644418729879052 - 0.03794372591604453im	-0.032494034058700584 - 0.16844958106058933im	-0.03249403405869916 - 0.16844958106058947im	-0.9319478453627141 + 0.13050585514481627im
0.0021490484513741743 + 0.0im	-0.9644745788793376 - 0.03803073944826746im	-0.03260903603327065 - 0.1684307750274204im	-0.03260903603326924 - 0.1684307750274206im	-0.931865549280231 + 0.13040003557942395im
0.0021705389358879163 + 0.0im	-0.9645076997060145 - 0.03811871350010648im	-0.03272518448625791 - 0.16841192841305344im	-0.03272518448625653 - 0.16841192841305355im	-0.9317825216545993 + 0.13029321491321721im
0.0021922443252467955 + 0.0im	-0.9645412411773351 - 0.03820766052777461im	-0.03284249105109376 - 0.16839304410947117im	-0.032842491051092666 - 0.16839304410947117im	-0.9316987565618018 + 0.13018538358196644im
0.0022141667684992634 + 0.0im	-0.9645752086457392 - 0.03829759321291908im	-0.03296096727610877 - 0.16837412512525535im	-0.03296096727610735 - 0.16837412512525549im	-0.9316142479613173 + 0.1300765319126057im
0.002236308436184256 + 0.0im	-0.9646096086754815 - 0.03838852446838872im	-0.033080625142452975 - 0.16835517458974572im	-0.03308062514245156 - 0.1683551745897458im	-0.9315289899700022 + 0.12996665012162578im
0.0022586715205460987 + 0.0im	-0.9646444466791291 - 0.038480467444188114im	-0.03320147666828425 - 0.16833619575732503im	-0.03320147666828299 - 0.16833619575732525im	-0.9314429764485878 + 0.12985572831340525im
0.0022812582357515598 + 0.0im	-0.9646797287343818 - 0.038573435533628235im	-0.03332353449882482 - 0.16831719201183412im	-0.033323534498823526 - 0.16831719201183432im	-0.9313562013190091 + 0.12974375647847386im
0.0023040708181090754 + 0.0im	-0.9647154609173967 - 0.03866744237968399im	-0.033446809554072095 - 0.16829816687111815im	-0.03344680955407068 - 0.16829816687111848im	-0.9312686584475944 + 0.12963072449170163im
0.002327111526290166 + 0.0im	-0.9647516493656849 - 0.038762501881569im	-0.033571314795066635 - 0.1682791239917058im	-0.03357131479506548 - 0.16827912399170594im	-0.9311803416557191 + 0.12951662211040368im
0.002350382641553068 + 0.0im	-0.964788300534035 - 0.038858628201539125im	-0.033697062766142025 - 0.16826006717362832im	-0.03369706276614065 - 0.16826006717362854im	-0.9310912446716187 + 0.12940143897235568im
0.0023738864679685987 + 0.0im	-0.9648254206076124 - 0.038955835771935336im	-0.03382406608414981 - 0.1682410003653786im	-0.033824066084148494 - 0.16824100036537878im	-0.9310013614986974 + 0.1292851645937091im
0.002397625332648285 + 0.0im	-0.964863015641695 - 0.03905413930247839im	-0.03395233724312897 - 0.168221927669015im	-0.033952337243127524 - 0.16822192766901523im	-0.930910673231061 + 0.12916778836680204im
0.0024216015859747676 + 0.0im	-0.964901092521612 - 0.039153553787826395im	-0.03408188914697477 - 0.16820285334541585im	-0.034081889146973326 - 0.16820285334541613im	-0.9308191982103103 + 0.1290492995578544im
0.0024458176018345153 + 0.0im	-0.9649396577494527 - 0.039254094515407525im	-0.0342127348045158 - 0.16818378181968477im	-0.03421273480451436 - 0.1681837818196851im	-0.93072691778384 + 0.12892968730454182im
0.0024702757778528603 + 0.0im	-0.9649787179739832 - 0.0393557770735408im	-0.034344887289359964 - 0.16816471768671776im	-0.03434488728935852 - 0.1681647176867181im	-0.9306338255268058 + 0.12880894061344084im
0.0024949785356313888 + 0.0im	-0.9650182799387287 - 0.03945861735985566im	-0.03447835954429728 - 0.1681456657169286im	-0.03447835954429571 - 0.16814566571692893im	-0.9305399149749628 + 0.12868704835733633im
0.002519928320987703 + 0.0im	-0.9650583505066257 - 0.039562631590024426im	-0.03461316508008452 - 0.16812663086214819im	-0.03461316508008307 - 0.1681266308621484im	-0.9304451796304148 + 0.1285639992723864im
0.00254512760419758 + 0.0im	-0.9650989362955485 - 0.03966783630681895im	-0.0347493136122099 - 0.16810761826169127im	-0.03474931361220848 - 0.16810761826169152im	-0.9303496128795469 + 0.12843978195513445im
0.0025705788802395557 + 0.0im	-0.9651400447999002 - 0.03977424838950382im	-0.03488683049749971 - 0.16808863324860787im	-0.034886830497498356 - 0.16808863324860812im	-0.9302532082456368 + 0.1283143848593657im
0.0025962846690419515 + 0.0im	-0.9651816827814085 - 0.03988188506357932im	-0.035025717700907 - 0.16806968135611686im	-0.03502571770090562 - 0.16806968135611713im	-0.9301559590263938 + 0.12818779629279875im
0.002622247515732371 + 0.0im	-0.9652238574446508 - 0.03999076391088451im	-0.03516599347962139 - 0.16805076832423177im	-0.03516599347962001 - 0.16805076832423202im	-0.9300578585586863 + 0.12806000441360763im
0.002648469990889695 + 0.0im	-0.9652665760331924 - 0.040100902880074306im	-0.035307670502048964 - 0.1680319001065828im	-0.03530767050204758 - 0.16803190010658323im	-0.9299589001275356 + 0.12793099722676846im
0.002674954690798592 + 0.0im	-0.9653098458725816 - 0.04021232029747995im	-0.0354507624905862 - 0.1680130828774457im	-0.03545076249058473 - 0.16801308287744582im	-0.9298590769757367 + 0.1278007625802251im
0.002701704237706578 + 0.0im	-0.9653536744074992 - 0.0403250348783658im	-0.03559528658606085 - 0.16799432303897688im	-0.035595286586059524 - 0.16799432303897713im	-0.9297583823122529 + 0.1276692881608698im
0.0027287212800836437 + 0.0im	-0.965398068651488 - 0.04043906573859193im	-0.035741253390448015 - 0.16797562722866863im	-0.03574125339044666 - 0.16797562722866902im	-0.929656809174233 + 0.12753656149033488im
0.00275600849288448 + 0.0im	-0.9654430367413962 - 0.040554432406693534im	-0.035888680506925674 - 0.16795700232702596im	-0.03588868050692407 - 0.1679570023270263im	-0.929554350842018 + 0.12740256992059004im
0.002783568577813325 + 0.0im	-0.9654885862359018 - 0.04067115483638604im	-0.036037580515636825 - 0.1679384554654734im	-0.03603758051563531 - 0.16793845546547367im	-0.9294510003307342 + 0.1272673006293443im
0.0028114042635914585 + 0.0im	-0.9655347246059128 - 0.040789253419505164im	-0.03618796859841899 - 0.16791999403449764im	-0.03618796859841751 - 0.16791999403449806im	-0.9293467506208943 + 0.12713074061524884im
0.002839518306227373 + 0.0im	-0.9655814596331678 - 0.040908748999390204im	-0.03633985955957269 - 0.16790162569203268im	-0.036339859559571246 - 0.16790162569203299im	-0.9292415946899495 + 0.12699287669289805im
0.0028679134892896467 + 0.0im	-0.9656287991219975 - 0.04102966288471718im	-0.036493268283729265 - 0.167883358372093im	-0.03649326828372779 - 0.16788335837209337im	-0.9291355254575963 + 0.1268536954876307im
0.0028965926241825432 + 0.0im	-0.9656767508803685 - 0.041152016863788915im	-0.03664820914390328 - 0.16786520029366025im	-0.036648209143901836 - 0.1678652002936607im	-0.9290285357800876 + 0.12671318343012586im
0.002925558550424369 + 0.0im	-0.9657253231008093 - 0.041275833219286386im	-0.0368046991808086 - 0.1678471599698292im	-0.03680469918080722 - 0.16784715996982957im	-0.9289206185453022 + 0.12657132675079638im
0.0029548141359286126 + 0.0im	-0.9657745231532567 - 0.04140113474348656im	-0.036962751293554454 - 0.16782924621721612im	-0.036962751293552976 - 0.1678292462172166im	-0.9288117666248463 + 0.1264281114739825im
0.0029843622772878988 + 0.0im	-0.9658243606771808 - 0.04152794475394806im	-0.03712238294230897 - 0.16781146816563805im	-0.037122382942307526 - 0.16781146816563838im	-0.9287019723666393 + 0.12628352341194196im
0.003014205900060778 + 0.0im	-0.9658748411931485 - 0.041656287109667914im	-0.037283607609887616 - 0.16779383526805983im	-0.037283607609886235 - 0.16779383526806033im	-0.9285912286764187 + 0.1261375481586434im
0.0030443479590613856 + 0.0im	-0.965925974623915 - 0.041786186227707446im	-0.03744644159937487 - 0.16777635731081958im	-0.037446441599373395 - 0.16777635731082im	-0.9284795281212375 + 0.125990171083363im
0.0030747914386519996 + 0.0im	-0.9659777686242126 - 0.04191766710028744im	-0.037610900776595756 - 0.16775904442412745im	-0.03761090077659431 - 0.16775904442412787im	-0.9283668632331487 + 0.12584137732408993im
0.0031055393530385195 + 0.0im	-0.9660302312614917 - 0.04205075531234811im	-0.037776995399704735 - 0.16774190709284412im	-0.037776995399703264 - 0.16774190709284456im	-0.9282532265100107 + 0.12569115178074533im
0.0031365947465689047 + 0.0im	-0.9660833701386548 - 0.042185477059569085im	-0.03794475547856581 - 0.16772495616753771im	-0.03794475547856427 - 0.16772495616753816im	-0.9281386100614364 + 0.1255394791082168im
0.0031679606940345937 + 0.0im	-0.9661371940543096 - 0.042321859166842585im	-0.03811418245298004 - 0.16770820287581523im	-0.03811418245297844 - 0.16770820287581564im	-0.9280230065924154 + 0.12538634370922036im
0.0031996403009749395 + 0.0im	-0.9661917121970631 - 0.0424599291071903im	-0.038285161742252966 - 0.1676916588339331im	-0.03828516174225416 - 0.1676916588339334im	-0.9279064082852926 + 0.12523172972698954im
