w	A_d-self_d	Ac_d-self_d	A_d-selfc_d	Ac_d-selfc_d
-0.7694459401832853 + 0.0im	-0.11477852125741114 - 0.0041609778202884385im	6.153836198092925e-5 + 0.00025281089218577216im	-6.153495858717077e-5 - 0.0002528124714014298im	0.15913143036680336 + 0.009530472112709762im
-0.7618276635478072 + 0.0im	-0.11576359434588661 - 0.00424866862513073im	6.159718553644816e-5 + 0.0002610462052918128im	-6.159365119055442e-5 - 0.0002610477836821026im	0.16103035848522235 + 0.009803497888660093im
-0.7542848153938685 + 0.0im	-0.1167556414765171 - 0.004337388212379661im	6.161003138569519e-5 + 0.00026953519629473015im	-6.160636230221589e-5 - 0.0002695367720283944im	0.16295562875225103 + 0.0100839222942721im
-0.7468166489048202 + 0.0im	-0.11775473407684459 - 0.004427150377224712im	6.157382705324733e-5 + 0.0002782859197330755im	-6.157001928980164e-5 - 0.00027828749087958053im	0.1649076836121603 + 0.010372000294726071im
-0.7394224246582378 + 0.0im	-0.11876089231507311 - 0.004517969807032539im	6.148532719662282e-5 + 0.00028730667329392027im	-6.148137679014809e-5 - 0.00028730823781899595im	0.16688698875910837 + 0.010667997510922672im
-0.7321014105527107 + 0.0im	-0.11977415730172725 - 0.00460986205489022im	6.134109912667484e-5 + 0.0002966060030648255im	-6.133700201919353e-5 - 0.00029660755882578643im	0.1688940194555096 + 0.010972190589697223im
-0.7248528817353571 + 0.0im	-0.1207945865248927 - 0.004702843508864037im	6.113755152008955e-5 + 0.0003061927089068957im	-6.113330349303806e-5 - 0.0003061942536477277im	0.1709292651541712 + 0.01128486758829846im
-0.7176761205300566 + 0.0im	-0.12182219834861166 - 0.004796931357157085im	6.087087101361213e-5 + 0.00031607584995590435im	-6.0866467821150684e-5 - 0.0003160773813021144im	0.17299324146275719 + 0.011606328374210625im
-0.7105704163663926 + 0.0im	-0.12285703251764402 - 0.00489214354938036im	6.0536699876998354e-5 + 0.0003262647502574614im	-6.0532137157020465e-5 - 0.0003262662657106832im	0.17508642963400023 + 0.011936885041431354im
-0.7035350657092996 + 0.0im	-0.1238991377436725 - 0.004988498754182376im	6.013098216739496e-5 + 0.0003367690045409591im	-6.012625545414899e-5 - 0.0003367705014733042im	0.17720936081406843 + 0.012276862344345472im
-0.6965693719894055 + 0.0im	-0.12494854714875984 - 0.005086016313511977im	5.964891587061831e-5 + 0.0003475984841355239im	-5.964402060666496e-5 - 0.0003475999597836744im	0.17936255208066704 + 0.01262659815035638im
-0.6896726455340648 + 0.0im	-0.1260052933369541 - 0.005184716193816852im	5.908585146549159e-5 + 0.0003587633430295144im	-5.9080782987646735e-5 - 0.00035876479448854995im	0.18154654657807967 + 0.012986443912451642im
-0.682844203499074 + 0.0im	-0.12706941655491866 - 0.005284618934507135im	5.8436770121446046e-5 + 0.000370274024073111im	-5.8431523656044725e-5 - 0.000370275448290064im	0.18376186086728458 + 0.013356765162886626im
-0.6760833698010634 + 0.0im	-0.12814094482204727 - 0.005385745594037848im	5.769573593650447e-5 + 0.0003821412653213461im	-5.7690306649939014e-5 - 0.0003821426590884798im	0.1860090689850636 + 0.013737942029169862im
-0.6693894750505578 + 0.0im	-0.1292199168119438 - 0.005488117693986904im	5.6858195097987194e-5 + 0.00039437610651244924im	-5.685257795854604e-5 - 0.000394377466460253im	0.188288731618922 + 0.014130369773525693im
-0.6627618564857007 + 0.0im	-0.1303063693691232 - 0.0055917571615257166im	5.5917253290641526e-5 + 0.0004069898956736508im	-5.5911443243821957e-5 - 0.0004069912182635454im	0.1906014549765593 + 0.014534459356992125im
-0.6561998579066344 + 0.0im	-0.1314003172864955 - 0.0056966862706973355im	5.486697513352724e-5 + 0.0004199942958436173im	-5.486096699273992e-5 - 0.000419995577360375im	0.19294766952768183 + 0.014950638029286313im
-0.649702829610529 + 0.0im	-0.13250180550162208 - 0.005802927582932336im	5.370057389726509e-5 + 0.00043340129189746896im	-5.369436237294712e-5 - 0.0004334025284413311im	0.19532811308080433 + 0.015379349945534661im
-0.6432701283272565 + 0.0im	-0.13361085934334627 - 0.005910503887245053im	5.241114408663691e-5 + 0.00044722319745684033im	-5.240472377984095e-5 - 0.0004472243849353422im	0.1977433343276379 + 0.015821056810919686im
-0.6369011171556995 + 0.0im	-0.13472750501412348 - 0.006019438140561989im	5.09911648347472e-5 + 0.0004614726618637484im	-5.098453024558511e-5 - 0.00046147379598324064im	0.20019394504654414 + 0.016276238554241283im
-0.6305951655006926 + 0.0im	-0.13585177560998546 - 0.00612975340864047im	4.9433430154368924e-5 + 0.0004761626771930798im	-4.9426575657889233e-5 - 0.0004761637534499518im	0.20268055064266588 + 0.016745394031324874im
-0.6243516490105867 + 0.0im	-0.13698368805648373 - 0.006241472808038164im	4.7729163881439686e-5 + 0.0004913065852743559im	-4.772208376846139e-5 - 0.000491307598945948im	0.20520376952311573 + 0.017229041759135505im
-0.6181699495154324 + 0.0im	-0.13812328038804736 - 0.006354619449593696im	4.587038461916587e-5 + 0.0005069180846890593im	-4.586307305538353e-5 - 0.0005069190308242846im	0.20776427426556202 + 0.017727720681370636im
-0.6120494549657746 + 0.0im	-0.139270577886712 - 0.006469216383874105im	4.384753008211474e-5 + 0.0005230112377052599im	-4.383998114804389e-5 - 0.0005230121111149133im	0.210362696965422 + 0.01824199096621007im
-0.605989559372054 + 0.0im	-0.14042558617647466 - 0.006585286549037279im	4.165147796334917e-5 + 0.0005396004771065435im	-4.16436856515359e-5 - 0.0005396012723533191im	0.2129996172740563 + 0.018772434836797157im
-0.599989662744608 + 0.0im	-0.1415883387546003 - 0.006702852721545948im	3.9272356337983723e-5 + 0.0005567006128673811im	-3.9264314451050744e-5 - 0.0005567013242555867im	0.2156757881376522 + 0.0193196574349083im
