w	self_d-A_d	selfc_d-A_d	self_d-Ac_d	selfc_d-Ac_d
-0.6432701283272565 + 0.0im	0.2047539058199586 + 0.13460584652860827im	0.007186060901917287 - 0.004101957549913701im	0.007186060901917539 - 0.004101957549913736im	0.20475390581995934 + 0.13460584652860996im
-0.6369011171556995 + 0.0im	0.20759948059167524 + 0.13933547587459788im	0.007402245107417035 - 0.004164328504076176im	0.0074022451074173 - 0.004164328504076208im	0.20759948059167602 + 0.1393354758745996im
-0.6305951655006926 + 0.0im	0.21042542396557581 + 0.14419987423238495im	0.00762537254664631 - 0.004223718900264025im	0.007625372546646583 - 0.004223718900264059im	0.21042542396557662 + 0.1441998742323867im
-0.6243516490105867 + 0.0im	0.21322817808943964 + 0.1492010431413591im	0.00785551913896112 - 0.0042798400720691545im	0.007855519138961405 - 0.0042798400720691805im	0.21322817808944064 + 0.1492010431413609im
-0.6181699495154324 + 0.0im	0.21600406188127044 + 0.15434090944017656im	0.00809275185998383 - 0.004332393767886891im	0.008092751859984109 - 0.004332393767886918im	0.21600406188127125 + 0.1543409094401786im
-0.6120494549657746 + 0.0im	0.21874926055015267 + 0.1596213188398321im	0.008337143475249284 - 0.004381072345036081im	0.008337143475249578 - 0.004381072345036116im	0.21874926055015342 + 0.15962131883983408im
-0.605989559372054 + 0.0im	0.22145983737168795 + 0.16504402937981144im	0.008588691023599588 - 0.004425558999086991im	0.008588691023599894 - 0.004425558999087021im	0.22145983737168876 + 0.16504402937981352im
-0.599989662744608 + 0.0im	0.2241317150662045 + 0.1706107047778899im	0.008847479697861456 - 0.004465528029352002im	0.008847479697861762 - 0.004465528029352029im	0.2241317150662052 + 0.170610704777892im
-0.5940491710342654 + 0.0im	0.22676069544510052 + 0.17632290768491593im	0.009113516330314974 - 0.004500645141406676im	0.00911351633031528 - 0.00450064514140671im	0.22676069544510116 + 0.17632290768491818im
-0.58816749607353 + 0.0im	0.229342449894346 + 0.18218209285670095im	0.009386811901318069 - 0.004530567787413083im	0.009386811901318392 - 0.004530567787413119im	0.22934244989434668 + 0.1821820928567032im
-0.5823440555183466 + 0.0im	0.23187252492307703 + 0.18818960025592035im	0.009667364655503783 - 0.0045549455449156im	0.009667364655504123 - 0.004554945544915633im	0.2318725249230777 + 0.18818960025592274im
-0.5765782727904422 + 0.0im	0.23434635057997003 + 0.19434664809771518im	0.009955159186355407 - 0.00457342053466782im	0.00995515918635575 - 0.004573420534667843im	0.23434635057997058 + 0.1943466480977176im
-0.5708695770202398 + 0.0im	0.23675922857197826 + 0.2006543258534648im	0.010250165560462784 - 0.004585627877932317im	0.010250165560463147 - 0.004585627877932344im	0.23675922857197887 + 0.20065432585346724im
-0.5652174029903364 + 0.0im	0.23910634527114488 + 0.20711358722798096im	0.010552339516674237 - 0.004591196193569508im	0.010552339516674595 - 0.00459119619356952im	0.23910634527114527 + 0.20711358722798356im
-0.559621191079541 + 0.0im	0.24138277249580617 + 0.21372524312614014im	0.010861620895424678 - 0.0045897481351001015im	0.010861620895425037 - 0.004589748135100133im	0.24138277249580659 + 0.21372524312614272im
-0.5540803872074663 + 0.0im	0.2435834693876991 + 0.22048995462573373im	0.011177933726073659 - 0.004580900967787144im	0.011177933726074049 - 0.004580900967787165im	0.24358346938769965 + 0.22048995462573653im
-0.5485944427796696 + 0.0im	0.24570329463923551 + 0.2274082259740556im	0.011501235133069443 - 0.004564267185637826im	0.01150123513306983 - 0.004564267185637834im	0.24570329463923585 + 0.22740822597405846im
